review_id,customer_name,age,brand,model,price_usd,price_local,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source
33554,Atharv Gera,18,Apple,iPhone SE,761.54,₹63207.82,INR,83.0,3.101813926272674,Neutral,India,Hindi,2025-10-10,True,3,3,5,3,2,3,Amazon
9428,Nicholas Coleman,29,Apple,iPhone 13,958.42,د.إ3517.4,AED,3.67,2.0,Neutral,UAE,English,2024-10-30,True,1,1,1,3,1,1,eBay
200,Enzo Vieira,18,Apple,iPhone 13,1311.55,R$7475.84,BRL,5.7,2.0,Positive,Brazil,Portuguese,2024-02-11,True,2,1,1,2,2,4,BestBuy
12448,Matthew Wu MD,23,Apple,iPhone 15 Pro,924.81,,CAD,1.38,3.0,Neutral,Canada,English,2024-09-04,True,5,3,2,3,4,3,Amazon
39490,Ariel Huang,24,OnePlus,OnePlus Nord 3,669.4,C$668.25,CAD,1.38,4.0,Positive,Canada,English,2023-11-09,True,4,3,3,3,3,4,eBay
42725,Dr June Fowler,23,Google,Pixel 6,850.93,£663.73,GBP,0.78,3.0,Neutral,UK,English,2024-09-12,False,4,4,3,3,2,1,Amazon
10823,Brooke Lane,23,Apple,iPhone 13,875.13,$875.13 ,USD,1.0,4.0,Positive,USA,English,2024-03-09,False,3,3,4,3,4,6,BestBuy
49499,Viraj Chahal,32,OnePlus,OnePlus Nord 3,680.88,₹56513.04,INR,83.0,1.0,Negative,India,Hindi,2025-05-22,False,1,2,1,1,3,3,
4145,Scott Grant,43,Google,Pixel 7a,1003.38,د.إ3682.4,AED,3.67,2.0,Negative,UAE,English,2025-06-08,True,3,2,1,2,1,4,AliExpress
36959,Keith Contreras,29,Apple,iPhone 14,840.28,C$1159.59,CAD,1.38,4.0,Positive,Canada,English,2025-09-17,True,4,3,4,4,3,6,Flipkart
43107,Grace Sanchez,18,Google,Pixel 7a,901.42,C$1243.96,CAD,1.38,4.0,Positive,Canada,English,2023-03-17,True,5,4,2,3,2,3,BestBuy
38696,Mark Blanchard,23,Apple,iPhone 15 Pro,1452.85,A$2222.86,AUD,1.53,3.0,Positive,Australia,English,2024-12-12,True,2,1,2,3,2,4,Amazon
6189,Andre Metz,31,Google,Pixel 7a,1043.27,€970.24,EUR,0.93,2.0,Negative,Germany,German,2025-04-19,True,1,1,1,3,3,2,Amazon
1415,João Vitor Correia,46,Realme,Realme 12 Pro,444.63,R$2534.39,BRL,5.7,3.0,Neutral,Brazil,Portuguese,2022-10-24,False,4,2,2,2,5,2,eBay
18472,Michael Griffin,30,OnePlus,OnePlus Nord 3,401.54,د.إ1473.65,AED,3.67,3.1430457746478875,Positive,UAE,English,2024-08-16,True,2,3,4,3,3,5,AliExpress
29283,Anthony Hart,45,Xiaomi,Poco X6,627.31,د.إ2302.23,AED,3.67,4.0,Positive,UAE,English,2022-12-26,False,4,3,4,3,3,4,BestBuy
15178,Sara Correia,36,Apple,iPhone SE,1382.43,R$7879.85,BRL,5.7,1.0,Negative,Brazil,Portuguese,2023-11-23,True,1,1,1,2,1,1,Flipkart
34305,Mr Kenneth Jones,33,Samsung,Galaxy Z Flip,964.77,£752.52,GBP,0.78,4.0,Neutral,UK,English,2025-04-25,False,3,4,3,5,2,4,Amazon
12610,Wilfried Benthin,33,OnePlus,OnePlus 11R,575.26,€534.99,EUR,0.93,2.0,Neutral,Germany,German,2024-09-09,False,1,2,2,1,1,1,eBay
12145,Gopal Kaul,18,Motorola,Razr 40,466.18,₹38692.94,INR,83.0,1.0,Negative,India,Hindi,2024-03-26,True,1,1,1,2,1,2,Flipkart
6114,Jennifer Schmidt,18,Google,Pixel 6,979.05,$979.05 ,USD,1.0,4.0,Neutral,USA,English,2023-05-16,True,4,3,2,4,3,1,eBay
15909,Arthur Gabriel Borges,26,Motorola,Razr 40,553.54,R$3155.18,BRL,5.7,2.0,Neutral,Brazil,Portuguese,2025-03-12,True,1,1,2,1,1,1,BestBuy
822,Ryan Bruce,45,Motorola,Razr 40,775.01,د.إ2844.29,AED,3.67,5.0,Positive,UAE,English,2023-07-22,False,5,3,5,5,5,3,eBay
15119,Carolin Fröhlich,18,Xiaomi,Poco X6,646.98,€601.69,EUR,0.93,2.0,Negative,Germany,German,2024-04-20,False,1,2,3,3,3,2,Amazon
13467,Lucca Cavalcanti,22,Samsung,Galaxy Note 20,1360.54,R$7755.08,BRL,5.7,1.0,Negative,Brazil,Portuguese,2025-03-14,True,1,1,1,1,3,3,Amazon
26498,Ronald Reed,23,Google,Pixel 6,864.83,د.إ3173.93,AED,3.67,3.0,Negative,UAE,English,2022-11-14,True,3,3,2,2,2,3,Flipkart
42112,Jared Ward,25,Realme,Realme 12 Pro,538.07,C$742.54,CAD,1.38,4.0,Positive,Canada,English,2025-08-10,False,5,3,3,3,5,10,Flipkart
30189,Lynn Yu,18,OnePlus,OnePlus 12,843.44,C$1163.95,CAD,1.38,3.0,Positive,Canada,English,2025-03-24,True,3,1,1,3,4,5,AliExpress
37238,Juan Cabrera,26,OnePlus,OnePlus 12,717.54,$717.54 ,USD,1.0,1.0,Negative,USA,English,2024-10-16,True,1,1,2,2,1,0,Flipkart
33110,Howard Meza,18,Xiaomi,Poco X6,213.96,C$295.26,CAD,1.38,2.0,Neutral,Canada,English,2024-02-03,True,2,1,1,3,2,2,Amazon
36481,Dr. Friederike Stadelmann B.A.,30,Samsung,Galaxy Z Flip,1180.09,€1097.48,EUR,0.93,4.0,Positive,Germany,German,2024-11-21,False,3,5,4,4,4,1,eBay
24149,Juan Oliveira,44,Motorola,Moto G Power,280.01,R$1596.06,BRL,5.7,3.0,Positive,Brazil,Portuguese,2024-01-19,False,5,2,2,4,1,6,eBay
5504,Viola Reichmann,35,Samsung,Galaxy S24,604.11,€561.82,EUR,0.93,4.0,Positive,Germany,German,2024-05-25,True,4,3,3,3,4,7,eBay
3919,Anne Duffy,33,Google,Pixel 6,1036.73,£808.65,GBP,0.78,4.0,Positive,UK,English,2023-09-27,True,4,4,4,3,5,5,BestBuy
38479,Leslie Brooks,38,Samsung,Galaxy Z Flip,905.38,C$1416.2,CAD,1.38,3.134886572654813,Positive,Canada,English,2025-04-06,True,4,4,4,4,3,6,eBay
21124,Patrick Mielcarek,43,OnePlus,OnePlus 11R,669.86,€622.97,EUR,0.93,3.0,Positive,Germany,German,2025-02-22,True,3,1,2,2,2,9,Flipkart
49718,Emily Cook,36,Motorola,Moto G Power,393.48,C$543.0,CAD,1.38,3.0,Neutral,Canada,English,2025-06-10,True,3,2,3,3,4,4,eBay
42295,Michael Morgan,40,Samsung,Galaxy S24,888.435,A$1779.45,AUD,1.53,1.0,Negative,Australia,English,2023-07-20,False,1,1,1,1,1,4,Amazon
47610,Manuela Cassiano,48,Realme,Realme 12 Pro,389.01,R$2217.36,BRL,5.7,1.0,Negative,Brazil,Portuguese,2023-07-15,True,1,1,1,1,1,1,Flipkart
11077,Jasmine Rojas,18,OnePlus,OnePlus Nord 3,449.96,C$620.94,CAD,1.38,2.0,Neutral,Canada,English,2024-10-11,True,1,3,1,1,3,2,Amazon
41515,Mark Brewer,37,Realme,Realme 12 Pro,396.41,A$333.83,AUD,1.53,5.0,Positive,Australia,English,2023-10-14,True,5,5,4,5,4,10,Amazon
22063,Hellena Machado,35,Motorola,Moto G Power,394.66,R$2249.56,BRL,5.7,1.0,Negative,Brazil,Portuguese,2024-12-24,True,1,3,1,1,2,1,Flipkart
9414,Christopher Whitaker,36,Google,Pixel 6,666.21,د.إ2444.99,AED,3.67,3.0,Neutral,UAE,English,2024-06-21,True,2,4,2,4,2,5,AliExpress
38341,Samuel Leão,24,Realme,Realme 12 Pro,378.12,R$2155.28,BRL,5.7,1.0,Negative,Brazil,Portuguese,2023-07-12,True,1,1,1,1,1,1,Flipkart
30264,Kendra Mills,40,Xiaomi,Mi 13 Pro,443.83,C$891.15,CAD,1.38,4.0,Positive,Canada,English,2024-08-03,False,5,3,3,4,3,13,AliExpress
41253,Mariane Pimenta,26,Apple,iPhone 14,988.05,R$5631.89,BRL,5.7,4.0,Positive,Brazil,Portuguese,2023-07-29,True,4,2,1,3,4,1,Amazon
14645,Valerie Velazquez,27,Apple,iPhone 15 Pro,1359.56,C$1876.19,CAD,1.38,4.0,Positive,Canada,English,2025-04-07,True,3,4,3,5,4,7,Amazon
26336,Mrs. Sheryl King MD,36,Samsung,Galaxy A55,1223.32,C$1688.18,CAD,1.38,3.0,Positive,Canada,English,2023-09-24,True,1,3,1,2,2,5,BestBuy
28103,Fernando Freitas,31,Samsung,Galaxy Note 20,1292.94,R$7369.76,BRL,5.7,2.0,Neutral,Brazil,Portuguese,2023-05-04,True,1,2,2,1,1,2,Amazon
17524,Michael Rodriguez,41,OnePlus,OnePlus 12,649.9,د.إ2385.13,AED,3.67,1.0,Negative,UAE,English,2023-02-13,True,3,1,1,1,1,0,BestBuy
24713,Guilherme da Cunha,32,OnePlus,OnePlus 12,564.02,R$3214.91,BRL,5.7,3.0,Neutral,Brazil,Portuguese,2024-09-09,False,2,4,2,2,3,0,AliExpress
40486,Max Jones,18,Xiaomi,Mi 13 Pro,374.94,£292.45,GBP,0.78,2.0,Positive,UK,English,2025-09-24,True,1,4,1,1,2,1,AliExpress
3851,Darryl Richardson,20,OnePlus,OnePlus 12,555.09,د.إ2037.18,AED,3.67,3.0,Positive,UAE,English,2023-11-29,False,3,1,3,3,1,7,eBay
40041,Sahin Henschel,19,Xiaomi,Mi 13 Pro,216.74,€201.57,EUR,0.93,4.0,Positive,Germany,German,2023-12-22,True,3,4,3,3,4,4,BestBuy
15268,Eric Thomas,49,OnePlus,OnePlus Nord 3,742.91,د.إ2726.48,AED,3.67,3.0,Negative,UAE,English,2024-09-10,True,2,5,2,2,3,3,BestBuy
49147,Univ.Prof. Andreas Oestrovsky,36,Google,Pixel 7a,808.25,€751.67,EUR,0.93,4.0,Positive,Germany,German,2025-09-17,True,4,4,3,3,4,6,BestBuy
30002,Henrique da Paz,22,Apple,iPhone 13,764.22,R$4356.05,BRL,5.7,3.0,Neutral,Brazil,Portuguese,2023-09-19,False,1,4,2,3,2,3,Flipkart
45927,James Stewart,18,Apple,iPhone 14,791.75,د.إ2905.72,AED,3.67,3.0,Neutral,UAE,English,2025-05-07,True,2,3,2,2,1,3,BestBuy
43825,Gabriela Lee,43,Google,Pixel 8,675.04,د.إ2477.4,AED,3.67,2.0,Neutral,UAE,English,2024-06-19,True,2,1,1,1,2,1,BestBuy
17241,Rishi Ben,38,Motorola,Moto G Power,739.07,₹61342.81,INR,83.0,2.0,Neutral,India,Hindi,2025-09-22,True,1,1,3,3,1,0,Amazon
4893,Richard Wade,55,Apple,iPhone 13,728.25,د.إ2672.68,AED,3.67,5.0,Positive,UAE,English,2024-04-07,False,5,5,5,4,5,3,Amazon
